5611311868823517387,,,,,抱歉，此微博已被删除。查看帮助：http://t.cn/8sYl7Qb,ics3wY,,,,,,,,,1306485354000
3464189094307523,1039039655,1039039655,中文幽默王,,男人回家早，女人就挖苦；男人回家晩，女人就发怒；男人长得帅，女人犯嘀咕；男人长得丑，女人就顿足；男人太有钱，女人就无主；男人没有钱，女人就反目；男人太听话，女人就气粗；男人不听话，女人凶似虎。左右不是人，男人真辛苦！,yqVQNi4Ab,皮皮时光机,http://ww3.sinaimg.cn/wap180/3dee7ca7jw1dul5qdgpfzg.gif,,,,80,26,0,1341410503000
3457129829062969,1827257141,1827257141,据说你也喜欢这调调,,女孩子的战略就该是：偶尔主动，偶尔被动，不要冲动，尽量伺机而动，就算你蠢蠢欲动，也要假装按兵不动，那样才会让男人怦然心动。,ynYcSC1GV,皮皮时光机,http://ww2.sinaimg.cn/wap180/6ce9bb35jw1dtymzk38bvj.jpg,,,,547,56,2,1339727444000
3462007057728630,2610874582,2610874582,麦兜总动员,,我们辛辛苦苦来到这个世界上，可不是为了每天看到的那些不美好而伤心的，我们生下来的时候就已经哭够了，而且我们啊，谁也不能活着回去，所以，不要把时间都用来低落了，去相信，去孤单，去爱去恨去浪费，去闯去梦去后悔，你一定要相信，不会有到不了的明天。,yq15nwqzk,时光机,http://ww3.sinaimg.cn/wap180/9b9ec8d6jw1due74o9u68j.jpg,,,,5616,503,15,1340890267000
3457281952082700,1713926427,1713926427,微博搞笑排行榜,,【2012流行这样好老公】1在钱包放老婆的照片。2.每天都要联系到老婆，不然就坐立不安。3.好吃的都给老婆吃。4.天凉自愿把肚皮献给老婆捂手。5.大度容忍老婆偶尔的无理取闹。6.送给老婆一个为未来很努力的自己。7.老婆永远最漂亮。8.人海茫茫，一秒就能找到老婆。9. 觉得老婆胖点更加可爱~你找到了吗？,yo2af8JNW,皮皮时光机,http://ww3.sinaimg.cn/wap180/6628711bjw1dtz4gik91nj.jpg,,,,3324,865,21,1339763713000
3456747056696450,2146525962,2146525962,美家美居手册,,据说要征服一个女人，有两条必经之路： 一， 讨好她妈。 二， 超越她爸。   @欧美男人范,ynOfvs63g,精彩微客,http://ww4.sinaimg.cn/wap180/7ff1630ajw1dtxf0ypbfej.jpg,,,,3711,379,12,1339636183000
3456862785631662,1649005320,1649005320,俞敏洪,,生活中追求情趣很重要，能使我们感到人生美好，使我们更加热爱生活。一个人不能光知道工作，偶尔要做一些“无用”之事，做有情趣之人。风和日丽时，躺在草地上看云，下雨天打伞听雨声，晚上看月亮数星星，躺在床上胡思乱想自己的前世今生...这些看似无用的事，使我们的人生有点情趣，其实有大用。,ynRganD3g,微博 weibo.com,,,,,7683,1960,33,1339663775000
3456236274305040,1644395354,1644395354,冷笑话精选,,得之坦然，失之淡然，争取必然，顺其自然。。。,ynAXFi3W8,时光机,http://ww4.sinaimg.cn/wap180/62037b5ajw1dtvsd3uq56j.jpg,,,,4591,613,43,1339514404000
3456065272596879,,,,,抱歉，此微博已被作者删除。查看帮助：http://t.cn/zWSudZc,ynwvRaTz9,,,,,,,,,1339473634000
3455619715848430,2175338034,2175338034,独峰倪翁,,【龙永图：澳洲报纸问中国三个问题】1、你们什么时候才能使全球大多数国家的精英都愿意把自己孩子送到中国去留学，而不是送美国欧洲；2、什么时候才能使全球大多数人特别是年轻人更多看中国电影、听中国音乐、阅读中国书籍；3、什么时候全球消费者选购产品时，更多选择中国品牌。by@思想聚焦 @姜明,ynkVdoxrw,皮皮时光机,,,,,1905,401,4,1339367405000
3455461204927466,1832444080,1832444080,经典-电影-台词,,谁敢把这个5分钟视频转给自己的女朋友看！？世界上99%男人都会有共鸣啊！不过这不是说女人不对啦，只是男人和女人的思维模式真的差很多！忍不住一口气看完五分钟的男士一定要举手，你们都不容易啊~~ 视频,yngNykFRg,时光机,http://ww2.sinaimg.cn/wap180/6d38e0b0jw1dttbcjsfctj.jpg,,,,7909,1092,66,1339329612000
